Freq,size,media,max_fft,min_freq,max_freq,Freq-min,max-Freq,OK
311.12,7,633,15808,306,318,4,7,1
329.632,5,4863,11780,324,333,5,4,1
349.232,8,246,7164,341,355,7,6,1
293.664,6,924,5372,287,296,6,3,1
277.184,3,123,153,273,279,3,2,0
392.0,1,144,144,384,384,7,-7,0
370.0,3,87,117,363,371,6,1,0
349.232,8,1029,20274,341,357,7,8,1
293.664,6,4344,18816,289,298,4,5,1
329.632,8,1034,16690,322,337,7,8,1
311.12,9,502,6465,302,318,8,7,1
370.0,4,239,363,363,371,6,1,0
277.184,7,149,334,269,281,7,4,0
311.12,7,2372,19646,302,316,8,5,1
293.664,7,1958,15387,287,298,6,5,1
329.632,7,543,10390,324,335,5,6,1
349.232,8,407,3405,341,355,7,6,1
277.184,5,225,340,269,277,7,0,0
370.0,5,127,201,363,371,6,1,0
349.232,7,1682,17636,341,357,7,8,1
329.632,8,726,17497,322,335,7,6,1
311.12,7,505,2911,304,318,6,7,1
293.664,7,507,1435,287,298,6,5,1
277.184,7,155,336,271,283,5,6,0
370.0,7,142,329,361,373,8,3,0
392.0,6,163,313,384,402,7,10,0
246.944,2,139,145,240,251,6,5,0
311.12,7,1609,18379,302,316,8,5,1
293.664,8,1040,16451,287,300,6,7,1
349.232,8,382,13266,339,355,9,6,1
329.632,9,764,7705,322,337,7,8,1
277.184,5,250,398,269,277,7,0,0
246.944,1,104,104,251,251,-5,5,0
329.632,7,735,17256,322,333,7,4,1
293.664,6,2957,16624,289,298,4,5,1
311.12,7,1367,10035,304,316,6,5,1
349.232,8,670,9473,341,355,7,6,1
277.184,6,274,702,271,281,5,4,0
392.0,4,269,395,382,388,9,-3,0
233.08,2,174,210,236,238,-3,5,0
246.944,2,98,119,240,251,6,5,0
349.232,9,183,17770,339,355,9,6,1
311.12,7,440,12676,306,318,4,7,1
329.632,7,725,5234,324,335,5,6,1
293.664,8,257,3541,287,300,6,7,1
277.184,6,242,680,271,281,5,4,0
329.632,8,585,17296,324,337,5,8,1
311.12,9,670,15497,302,318,8,7,1
293.664,8,635,12194,287,300,6,7,1
277.184,3,286,366,271,275,5,-1,0
349.232,7,643,17348,343,355,5,6,1
293.664,8,959,16762,287,300,6,7,1
311.12,6,781,4687,306,316,4,5,1
329.632,3,2318,3704,328,332,1,2,1
370.0,3,130,232,365,369,4,0,0
329.632,8,793,18452,324,337,5,8,1
311.12,8,847,18378,304,318,6,7,1
349.232,7,706,9643,343,355,5,6,1
293.664,6,1480,8470,289,298,4,5,1
277.184,2,257,318,275,277,1,0,0
370.0,5,89,220,363,371,6,1,0
392.0,3,118,145,384,402,7,10,0
233.08,1,131,131,238,238,-5,5,0
349.232,6,2757,13056,341,353,7,4,1
293.664,7,1041,7731,287,298,6,5,1
311.12,5,1771,4040,306,314,4,3,1
329.632,6,482,2170,326,335,3,6,1
277.184,3,175,258,271,275,5,-1,0
370.0,2,218,251,365,369,4,0,0
392.0,1,184,184,384,384,7,-7,0
329.632,8,953,20029,324,337,5,8,1
293.664,6,4076,19121,289,298,4,5,1
311.12,6,3856,17691,306,316,4,5,1
349.232,6,4086,17656,345,357,3,8,1
277.184,4,92,117,271,279,5,2,0
293.664,6,3017,13347,289,298,4,5,1
311.12,8,590,12430,302,318,8,7,1
349.232,9,281,4231,341,357,7,8,1
329.632,7,517,846,322,335,7,6,1
370.0,5,146,302,361,375,8,5,0
277.184,6,143,197,269,279,7,2,0
329.632,7,2008,20044,326,337,3,8,1
349.232,9,250,19900,339,355,9,6,1
311.12,7,1177,12574,304,318,6,7,1
293.664,7,300,5018,287,298,6,5,1
277.184,6,188,456,269,281,7,4,0
370.0,6,178,294,363,373,6,3,0
392.0,4,178,267,384,402,7,10,0
246.944,1,126,126,251,251,-5,5,0
293.664,8,1448,18463,287,300,6,7,1
311.12,8,1312,18098,304,318,6,7,1
349.232,7,409,7240,343,355,5,6,1
329.632,7,371,2474,324,335,5,6,1
370.0,6,183,315,361,373,8,3,0
277.184,6,169,259,269,281,7,4,0
329.632,7,1142,18212,324,337,5,8,1
349.232,9,654,14835,339,357,9,8,1
293.664,6,2575,14608,289,298,4,5,1
311.12,9,275,4444,302,318,8,7,1
277.184,7,194,556,269,283,7,6,0
246.944,1,91,91,251,251,-5,5,0
311.12,7,1348,19782,302,316,8,5,1
349.232,9,314,16260,341,357,7,8,1
329.632,8,352,4716,322,335,7,6,1
293.664,6,688,1009,289,298,4,5,1
277.184,5,350,524,271,279,5,2,0
246.944,1,75,75,240,240,6,-6,0
329.632,8,643,16313,322,335,7,6,1
293.664,8,691,13718,287,300,6,7,1
349.232,6,990,6324,343,355,5,6,1
311.12,7,454,4097,306,318,4,7,1
277.184,4,352,587,271,277,5,0,0
392.0,3,298,349,382,386,9,-5,0
349.232,8,753,20470,341,355,7,6,1
293.664,8,1153,18554,287,300,6,7,1
311.12,9,766,17334,302,318,8,7,1
329.632,6,1181,6757,322,333,7,4,1
277.184,4,103,246,271,281,5,4,0
370.0,5,104,226,363,371,6,1,0
659.264,1,133,133,642,642,16,-16,0
233.08,2,119,124,236,238,-3,5,0
220.0,1,120,120,218,218,1,-1,0
392.0,2,99,109,382,384,9,-7,0
329.632,8,505,15857,322,335,7,6,1
311.12,8,389,11407,304,318,6,7,1
293.664,6,825,4824,289,300,4,7,1
349.232,7,391,2661,343,355,5,6,1
277.184,2,257,264,275,277,1,0,0
370.0,3,117,244,365,369,4,0,0
246.944,1,122,122,240,240,6,-6,0
349.232,7,756,19533,341,353,7,4,1
293.664,7,1772,12467,287,298,6,5,1
311.12,7,1460,11525,304,316,6,5,1
329.632,8,930,9333,324,337,5,8,1
277.184,3,206,290,273,277,3,0,0
392.0,3,116,182,384,402,7,10,0
233.08,1,145,145,238,238,-5,5,0
659.264,1,75,75,677,677,-18,18,0
293.664,8,1122,17513,287,300,6,7,1
311.12,9,565,17033,302,318,8,7,1
329.632,8,436,16251,322,335,7,6,1
349.232,8,800,11814,341,355,7,6,1
277.184,2,184,209,273,275,3,-1,0
370.0,2,161,194,365,369,4,0,0
329.632,8,683,12340,322,337,7,8,1
349.232,9,371,12023,339,357,9,8,1
293.664,7,1661,11039,287,298,6,5,1
311.12,8,437,3059,304,318,6,7,1
277.184,7,164,445,269,283,7,6,0
370.0,5,187,309,363,371,6,1,0
392.0,4,106,277,382,388,9,-3,0
246.944,1,84,84,240,240,6,-6,0
311.12,7,2030,19648,302,316,8,5,1
349.232,7,1563,19233,339,353,9,4,1
329.632,7,758,16641,322,337,7,8,1
293.664,5,1813,7194,289,296,4,3,1
277.184,2,100,117,275,279,1,2,0
392.0,1,93,93,384,384,7,-7,0
293.664,5,6717,20036,291,298,2,5,1
329.632,6,3393,13702,324,337,5,8,1
311.12,8,688,6549,302,316,8,5,1
349.232,9,345,2392,339,355,9,6,1
349.232,6,4857,20450,341,355,7,6,1
311.12,6,3996,17419,304,318,6,7,1
329.632,6,3656,15532,322,335,7,6,1
293.664,7,2047,14629,287,300,6,7,1
277.184,6,117,256,269,281,7,4,0
329.632,6,2745,13466,322,333,7,4,1
311.12,7,1194,12382,304,316,6,5,1
349.232,8,267,9467,339,353,9,4,1
293.664,6,892,3964,287,300,6,7,1
277.184,4,454,725,269,277,7,0,0
415.312,5,170,255,404,423,11,8,0
293.664,8,1661,19732,287,300,6,7,1
349.232,10,1578,18558,339,357,9,8,1
329.632,9,2239,17660,322,337,7,8,1
311.12,8,999,12075,302,318,8,7,1
311.12,8,1533,36872,304,318,6,7,1
349.232,10,689,35112,339,357,9,8,1
293.664,8,1995,32589,287,300,6,7,1
329.632,8,1056,31239,324,337,5,8,1
277.184,4,623,1100,271,283,5,6,0
246.944,1,192,192,240,240,6,-6,0
329.632,8,636,25601,322,335,7,6,1
349.232,9,536,10225,339,357,9,8,1
293.664,8,464,4669,287,300,6,7,1
311.12,7,696,3491,302,314,8,3,1
392.0,7,197,644,384,402,7,10,0
246.944,2,167,237,240,242,6,-4,0
349.232,9,591,17791,339,355,9,6,1
311.12,7,908,16929,304,316,6,5,1
329.632,8,696,14823,324,337,5,8,1
293.664,7,1278,12374,287,298,6,5,1
277.184,3,240,295,271,277,5,0,0
370.0,3,111,258,365,369,4,0,0
293.664,8,1206,18820,287,300,6,7,1
329.632,7,327,9682,322,335,7,6,1
311.12,8,212,7997,304,318,6,7,1
349.232,6,1240,6185,341,353,7,4,1
370.0,2,260,293,365,369,4,0,0
277.184,4,148,194,269,275,7,-1,0
329.632,9,827,17192,322,337,7,8,1
349.232,7,400,16186,341,353,7,4,1
311.12,7,1707,14712,304,316,6,5,1
293.664,7,305,7221,287,300,6,7,1
392.0,2,128,163,384,388,7,-3,0
349.232,9,274,15625,339,355,9,6,1
311.12,7,1816,15333,304,316,6,5,1
293.664,8,1213,10958,287,300,6,7,1
329.632,8,527,7329,324,337,5,8,1
277.184,7,138,383,269,283,7,6,0
370.0,4,276,368,363,371,6,1,0
293.664,8,1574,19376,287,300,6,7,1
329.632,6,4762,19306,326,335,3,6,1
311.12,8,804,8807,302,318,8,7,1
349.232,7,906,8407,345,357,3,8,1
277.184,4,279,370,269,277,7,0,0
370.0,6,150,249,361,371,8,1,0
246.944,2,82,89,240,242,6,-4,0
349.232,8,666,19528,339,357,9,8,1
311.12,9,356,18741,302,318,8,7,1
293.664,7,2245,10922,289,300,4,7,1
329.632,8,660,4632,324,337,5,8,1
370.0,5,156,288,363,371,6,1,0
277.184,5,122,287,271,279,5,2,0
392.0,4,156,253,384,402,7,10,0
415.312,6,152,230,404,423,11,8,0
246.944,1,78,78,251,251,-5,5,0
329.632,7,1327,19451,324,337,5,8,1
293.664,6,1831,6914,287,298,6,5,1
349.232,6,742,2726,343,353,5,4,1
311.12,7,534,1077,304,316,6,5,1
277.184,6,208,412,271,281,5,4,0
392.0,5,133,195,382,402,9,10,0
370.0,2,163,177,367,369,2,0,0
415.312,5,134,162,404,423,11,8,0
220.0,3,139,148,216,220,3,0,0
233.08,2,109,137,236,238,-3,5,0
196.0,2,99,111,199,201,-3,5,0
246.944,1,107,107,240,240,6,-6,0
185.0,1,103,103,181,181,3,-3,0
440.0,1,91,91,441,441,-1,1,0
311.12,8,775,17857,304,318,6,7,1
293.664,7,1245,17766,289,300,4,7,1
349.232,8,679,16921,341,355,7,6,1
329.632,6,422,2871,324,335,5,6,1
277.184,5,396,697,269,281,7,4,0
329.632,8,780,18404,322,335,7,6,1
293.664,8,998,13036,287,300,6,7,1
349.232,5,4257,11679,345,353,3,4,1
311.12,9,428,7787,302,318,8,7,1
277.184,4,392,610,271,277,5,0,0
246.944,1,119,119,240,240,6,-6,0
311.12,8,586,13534,302,316,8,5,1
349.232,7,386,10375,343,355,5,6,1
293.664,3,972,1569,291,294,2,1,1
329.632,3,499,811,328,332,1,2,1
277.184,3,222,333,271,275,5,-1,0
392.0,3,220,286,382,386,9,-5,0
370.0,4,127,258,363,369,6,0,0
329.632,8,666,18085,322,335,7,6,1
349.232,7,655,17002,343,355,5,6,1
293.664,8,963,14495,287,300,6,7,1
311.12,9,540,14328,302,318,8,7,1
370.0,4,128,283,363,369,6,0,0
277.184,4,153,202,271,277,5,0,0
392.0,3,105,120,382,402,9,10,0
293.664,8,955,16739,287,300,6,7,1
311.12,7,1003,6888,304,316,6,5,1
329.632,7,549,1827,326,337,3,8,1
349.232,7,176,1482,339,355,9,6,1
277.184,3,195,335,275,281,1,4,0
370.0,5,97,181,363,371,6,1,0
392.0,2,141,172,384,386,7,-5,0
246.944,1,79,79,240,240,6,-6,0
329.632,7,945,18784,322,333,7,4,1
349.232,7,773,18685,341,353,7,4,1
311.12,8,912,18372,304,318,6,7,1
293.664,7,568,4073,287,298,6,5,1
370.0,3,148,295,365,369,4,0,0
277.184,3,191,222,271,275,5,-1,0
392.0,2,108,138,384,388,7,-3,0
293.664,6,2992,13502,287,296,6,3,1
349.232,9,466,9213,341,357,7,8,1
329.632,8,737,3801,324,337,5,8,1
311.12,8,492,1581,302,316,8,5,1
277.184,5,157,206,269,281,7,4,0
370.0,4,130,177,363,369,6,0,0
329.632,7,1862,19303,324,335,5,6,1
293.664,6,4382,19186,289,298,4,5,1
311.12,6,4327,18638,306,316,4,5,1
349.232,8,651,14622,343,357,5,8,1
370.0,5,104,303,363,373,6,3,0
277.184,5,140,226,269,279,7,2,0
349.232,7,658,17113,343,355,5,6,1
311.12,8,1162,9688,302,318,8,7,1
293.664,8,1097,7740,287,300,6,7,1
329.632,7,750,6674,324,337,5,8,1
277.184,4,299,459,271,279,5,2,0
370.0,5,151,290,363,371,6,1,0
392.0,3,159,206,384,388,7,-3,0
246.944,1,119,119,251,251,-5,5,0
329.632,7,1997,18866,322,337,7,8,1
311.12,8,786,14403,302,316,8,5,1
293.664,7,1019,9890,287,298,6,5,1
349.232,8,663,4921,343,357,5,8,1
370.0,6,127,290,363,373,6,3,0
392.0,3,178,261,382,386,9,-5,0
349.232,9,395,18265,339,355,9,6,1
293.664,6,3102,17901,289,298,4,5,1
311.12,7,1402,15013,304,316,6,5,1
329.632,7,339,8218,324,335,5,6,1
277.184,5,388,602,273,283,3,6,0
246.944,1,138,138,240,240,6,-6,0
329.632,7,1001,17882,324,335,5,6,1
293.664,7,1721,12413,287,298,6,5,1
311.12,7,282,6611,302,318,8,7,1
349.232,8,144,6314,341,357,7,8,1
277.184,5,362,544,271,279,5,2,0
415.312,2,176,217,404,406,11,-9,0
392.0,5,169,202,382,402,9,10,0
246.944,1,94,94,240,240,6,-6,0
311.12,9,685,16833,302,318,8,7,1
349.232,7,552,14309,343,355,5,6,1
329.632,6,1574,8852,326,335,3,6,1
293.664,4,2258,4693,289,294,4,1,1
277.184,3,510,519,273,277,3,0,0
392.0,4,171,326,382,402,9,10,0
370.0,2,186,226,365,367,4,-2,0
233.08,1,215,215,238,238,-5,5,0
415.312,2,139,188,404,406,11,-9,0
220.0,3,138,179,216,220,3,0,0
246.944,1,133,133,240,240,6,-6,0
164.816,1,109,109,164,164,0,0,0
293.664,8,1142,18419,287,300,6,7,1
329.632,9,459,17231,322,337,7,8,1
349.232,9,590,15547,339,355,9,6,1
311.12,3,1856,2873,308,312,2,1,1
370.0,5,112,239,363,371,6,1,0
277.184,3,83,229,271,277,5,0,0
246.944,1,123,123,240,240,6,-6,0
311.12,9,732,15838,302,318,8,7,1
293.664,8,673,13699,287,300,6,7,1
329.632,7,659,10083,324,335,5,6,1
349.232,5,3099,7702,345,353,3,4,1
370.0,3,113,248,365,369,4,0,0
277.184,3,224,229,271,277,5,0,0
392.0,2,166,200,384,386,7,-5,0
349.232,7,1484,21229,343,357,5,8,1
329.632,8,532,16567,324,337,5,8,1
311.12,6,2483,12135,308,318,2,7,1
293.664,8,403,993,287,300,6,7,1
277.184,5,127,281,269,281,7,4,0
293.664,8,1306,14017,287,300,6,7,1
329.632,8,929,12337,322,335,7,6,1
311.12,9,611,11952,302,318,8,7,1
349.232,7,712,2555,343,355,5,6,1
370.0,2,125,158,365,369,4,0,0
277.184,2,138,154,273,275,3,-1,0
349.232,8,1352,19951,341,355,7,6,1
293.664,7,3204,19949,287,300,6,7,1
311.12,8,1525,18659,304,318,6,7,1
329.632,9,415,14437,322,337,7,8,1
277.184,4,284,538,273,281,3,4,0
370.0,7,205,332,361,373,8,3,0
392.0,4,195,282,384,402,7,10,0
246.944,2,116,151,250,251,-3,5,0
329.632,6,3301,15238,324,333,5,4,1
349.232,8,973,12162,339,357,9,8,1
293.664,6,1557,5879,289,298,4,5,1
311.12,5,1366,5135,306,314,4,3,1
277.184,2,130,149,275,279,1,2,0
311.12,9,621,19861,302,318,8,7,1
293.664,7,624,13734,289,300,4,7,1
349.232,9,1009,11425,339,355,9,6,1
329.632,8,1476,11147,322,335,7,6,1
246.944,1,126,126,251,251,-5,5,0
293.664,7,2706,20134,287,300,6,7,1
349.232,8,763,19673,339,355,9,6,1
329.632,8,997,17677,322,337,7,8,1
311.12,8,543,4066,302,318,8,7,1
246.944,2,99,102,240,251,6,5,0
311.12,8,564,16418,304,318,6,7,1
329.632,7,750,8482,324,335,5,6,1
293.664,8,635,7972,287,300,6,7,1
349.232,7,238,1800,343,355,5,6,1
277.184,3,474,744,273,277,3,0,0
392.0,5,180,351,382,402,9,10,0
233.08,2,259,291,236,238,-3,5,0
415.312,2,153,231,404,423,11,8,0
370.0,3,151,185,365,371,4,1,0
440.0,2,147,159,439,441,0,1,0
220.0,2,145,154,218,220,1,0,0
185.0,2,133,146,181,183,3,-1,0
246.944,1,131,131,240,240,6,-6,0
622.24,2,102,123,621,623,1,0,0
349.232,9,510,19939,339,355,9,6,1
329.632,7,699,18289,322,333,7,4,1
311.12,7,1156,12300,304,316,6,5,1
293.664,8,320,8469,287,300,6,7,1
277.184,5,290,510,271,281,5,4,0
392.0,5,152,297,382,402,9,10,0
370.0,4,118,186,363,369,6,0,0
220.0,2,162,163,218,220,1,0,0
415.312,2,120,145,404,406,11,-9,0
246.944,1,87,87,240,240,6,-6,0
293.664,8,927,16212,287,300,6,7,1
311.12,7,432,10601,304,316,6,5,1
349.232,6,1475,7885,345,355,3,6,1
329.632,5,2191,6997,326,333,3,4,1
277.184,3,348,408,271,275,5,-1,0
246.944,1,97,97,240,240,6,-6,0
329.632,9,747,18559,322,337,7,8,1
311.12,8,774,17851,304,318,6,7,1
349.232,8,354,14815,339,355,9,6,1
293.664,8,701,13431,287,300,6,7,1
392.0,2,221,243,384,386,7,-5,0
370.0,2,193,236,365,367,4,-2,0
349.232,8,749,15169,341,355,7,6,1
329.632,5,2628,5918,326,333,3,4,1
311.12,6,524,3523,306,316,4,5,1
293.664,5,816,3196,289,296,4,3,1
277.184,2,264,301,275,277,1,0,0
370.0,3,126,227,365,369,4,0,0
311.12,6,4024,19934,306,316,4,5,1
329.632,7,1529,19385,324,337,5,8,1
293.664,7,2293,17338,287,298,6,5,1
349.232,6,1719,5841,343,353,5,4,1
370.0,2,274,323,365,369,4,0,0
277.184,5,148,229,269,277,7,0,0
349.232,6,4220,19461,343,353,5,4,1
293.664,7,1444,16316,289,300,4,7,1
311.12,7,506,5444,306,318,4,7,1
329.632,7,576,4335,324,335,5,6,1
392.0,1,109,109,384,384,7,-7,0
370.0,2,76,78,367,371,2,1,0
277.184,1,76,76,271,271,5,-5,0
329.632,9,511,19980,322,337,7,8,1
311.12,9,374,17752,302,318,8,7,1
349.232,8,255,5521,339,357,9,8,1
293.664,7,440,1734,287,300,6,7,1
277.184,7,127,437,269,283,7,6,0
370.0,5,218,381,361,371,8,1,0
349.232,10,349,17283,339,357,9,8,1
293.664,7,2223,15038,287,300,6,7,1
311.12,6,3289,13337,304,314,6,3,1
329.632,7,247,1633,324,337,5,8,1
277.184,5,196,409,269,279,7,2,0
370.0,7,167,251,361,373,8,3,0
246.944,2,117,139,240,242,6,-4,0
329.632,7,1272,19099,324,337,5,8,1
293.664,6,4011,18329,289,298,4,5,1
349.232,6,3340,14591,343,357,5,8,1
311.12,8,340,11321,302,316,8,5,1
370.0,3,143,263,367,371,2,1,0
277.184,3,113,228,273,277,3,0,0
311.12,7,1759,17750,302,316,8,5,1
349.232,8,871,8551,341,357,7,8,1
293.664,5,1518,5738,289,296,4,3,1
329.632,7,663,1600,324,337,5,8,1
277.184,7,202,405,271,283,5,6,0
392.0,5,165,305,382,402,9,10,0
233.08,3,207,239,234,238,-1,5,0
349.232,8,563,18257,341,355,7,6,1
329.632,8,696,18025,322,335,7,6,1
293.664,7,432,11066,289,300,4,7,1
311.12,6,709,2911,304,318,6,7,1
277.184,5,389,712,271,281,5,4,0
246.944,1,151,151,240,240,6,-6,0
311.12,9,761,17954,302,318,8,7,1
293.664,8,1044,17199,287,300,6,7,1
329.632,5,1136,2772,326,333,3,4,1
349.232,4,805,1572,345,351,3,2,1
277.184,4,339,541,271,277,5,0,0
329.632,8,587,17744,322,335,7,6,1
349.232,7,657,17216,343,355,5,6,1
293.664,8,562,9778,287,300,6,7,1
311.12,6,997,5812,304,314,6,3,1
277.184,3,164,327,271,275,5,-1,0
392.0,4,137,260,382,402,9,10,0
370.0,3,156,245,365,369,4,0,0
415.312,2,121,136,404,421,11,6,0
246.944,1,115,115,240,240,6,-6,0
311.12,9,684,15014,302,318,8,7,1
349.232,7,708,10557,343,355,5,6,1
293.664,8,560,5652,287,300,6,7,1
329.632,7,471,4165,324,335,5,6,1
370.0,4,122,270,363,369,6,0,0
277.184,4,133,201,271,277,5,0,0
329.632,8,669,18462,322,335,7,6,1
293.664,8,1371,17679,287,300,6,7,1
311.12,7,405,13776,306,318,4,7,1
349.232,6,2557,12276,341,353,7,4,1
277.184,2,242,302,275,277,1,0,0
392.0,1,205,205,384,384,7,-7,0
370.0,4,114,147,363,371,6,1,0
349.232,6,3622,17719,343,353,5,4,1
293.664,7,860,14434,289,300,4,7,1
311.12,8,1165,9302,304,318,6,7,1
329.632,7,1176,6188,322,337,7,8,1
370.0,3,202,252,361,369,8,0,0
277.184,6,115,182,271,283,5,6,0
233.08,1,135,135,238,238,-5,5,0
311.12,8,1203,19178,302,316,8,5,1
329.632,8,1072,18605,324,337,5,8,1
349.232,9,474,2587,339,357,9,8,1
293.664,7,742,1954,287,298,6,5,1
277.184,5,218,275,269,281,7,4,0
370.0,5,169,197,363,371,6,1,0
392.0,4,118,191,382,402,9,10,0
349.232,7,1610,19940,341,355,7,6,1
293.664,6,3889,16764,289,300,4,7,1
329.632,7,1235,8661,322,333,7,4,1
311.12,7,231,1536,304,318,6,7,1
370.0,4,187,351,363,371,6,1,0
277.184,5,137,289,269,279,7,2,0
246.944,1,84,84,251,251,-5,5,0
311.12,6,4443,19522,304,316,6,5,1
293.664,6,3856,17001,289,300,4,7,1
329.632,7,1834,16633,326,337,3,8,1
349.232,8,627,8482,341,355,7,6,1
277.184,5,137,465,273,283,3,6,0
349.232,8,895,15353,339,357,9,8,1
329.632,9,225,10892,322,337,7,8,1
311.12,9,556,7590,302,318,8,7,1
293.664,8,449,2976,287,300,6,7,1
246.944,3,97,135,240,251,6,5,0
349.232,7,580,15219,341,353,7,4,1
311.12,7,573,14970,306,318,4,7,1
329.632,7,939,13952,324,335,5,6,1
293.664,7,550,13384,289,300,4,7,1
277.184,3,451,639,273,277,3,0,0
246.944,1,158,158,240,240,6,-6,0
293.664,8,1379,19102,287,300,6,7,1
311.12,8,971,14911,304,318,6,7,1
329.632,7,333,12600,322,333,7,4,1
349.232,7,513,5910,343,355,5,6,1
277.184,4,368,510,271,277,5,0,0
392.0,4,224,311,382,388,9,-3,0
233.08,2,185,216,236,238,-3,5,0
370.0,3,167,208,363,367,6,-2,0
415.312,2,143,150,421,423,-6,8,0
